Etc/UTC,Open,High,Low,Close,Volume
2023-07-02T21:00:00+00:00,1.26892,1.27045,1.26892,1.26936,546750000
2023-07-02T22:00:00+00:00,1.26921,1.27044,1.26921,1.26967,5524650000
2023-07-02T23:00:00+00:00,1.26969,1.27009,1.26921,1.26931,5236230000
2023-07-03T00:00:00+00:00,1.26931,1.26982,1.26871,1.269,6348690000
2023-07-03T01:00:00+00:00,1.269,1.27051,1.26878,1.26976,8019870000
2023-07-03T02:00:00+00:00,1.26975,1.27003,1.26927,1.2695,6583900000
2023-07-03T03:00:00+00:00,1.2695,1.27044,1.26945,1.26997,3591780000
2023-07-03T04:00:00+00:00,1.26995,1.27067,1.26976,1.27048,5582210000
2023-07-03T05:00:00+00:00,1.27047,1.2705,1.269,1.26915,5022450000
2023-07-03T06:00:00+00:00,1.26915,1.26955,1.26716,1.26874,6117400000
2023-07-03T07:00:00+00:00,1.26873,1.26876,1.26582,1.26651,6125960000
2023-07-03T08:00:00+00:00,1.26648,1.26814,1.26592,1.267,5148190000
2023-07-03T09:00:00+00:00,1.26701,1.26781,1.26642,1.26691,4508800000
2023-07-03T10:00:00+00:00,1.26693,1.26785,1.26661,1.2672,4229540000
2023-07-03T11:00:00+00:00,1.26721,1.26816,1.26613,1.26745,5072940000
2023-07-03T12:00:00+00:00,1.26744,1.26951,1.26682,1.26934,4503810000
2023-07-03T13:00:00+00:00,1.26936,1.27034,1.26842,1.2696,6587410000
2023-07-03T14:00:00+00:00,1.26963,1.27229,1.26856,1.26879,11021940000
2023-07-03T15:00:00+00:00,1.26878,1.2696,1.26736,1.2693,5823610000
2023-07-03T16:00:00+00:00,1.26929,1.27042,1.26907,1.26967,4933760000
2023-07-03T17:00:00+00:00,1.26967,1.27002,1.26825,1.26825,2539540000
2023-07-03T18:00:00+00:00,1.26826,1.26907,1.26805,1.269,2954870000
2023-07-03T19:00:00+00:00,1.26897,1.26921,1.26879,1.26888,1604700000
2023-07-03T20:00:00+00:00,1.26889,1.26929,1.26885,1.26906,1245840000
2023-07-03T21:00:00+00:00,1.2688,1.26935,1.26853,1.26888,1775180000
2023-07-03T22:00:00+00:00,1.26887,1.26923,1.26871,1.26884,1359510000
2023-07-03T23:00:00+00:00,1.26893,1.26927,1.26875,1.26918,3475110000
2023-07-04T00:00:00+00:00,1.26917,1.26999,1.26892,1.26968,2714550000
2023-07-04T01:00:00+00:00,1.2697,1.27011,1.26894,1.26943,4027980000
2023-07-04T02:00:00+00:00,1.26943,1.26951,1.26845,1.26875,2706420000
2023-07-04T03:00:00+00:00,1.26876,1.26918,1.26857,1.26874,3493350000
2023-07-04T04:00:00+00:00,1.26875,1.26932,1.26846,1.2686,8940840000
2023-07-04T05:00:00+00:00,1.26859,1.26897,1.26831,1.26863,3344250000
2023-07-04T06:00:00+00:00,1.26865,1.27107,1.26846,1.2706,4141760000
2023-07-04T07:00:00+00:00,1.27061,1.2708,1.2689,1.26962,3911770000
2023-07-04T08:00:00+00:00,1.26961,1.26992,1.26901,1.2696,3742360000
2023-07-04T09:00:00+00:00,1.2696,1.2705,1.26932,1.26976,3797760000
2023-07-04T10:00:00+00:00,1.26977,1.27136,1.26958,1.27077,3201310000
2023-07-04T11:00:00+00:00,1.27079,1.27245,1.27078,1.2716,2870820000
2023-07-04T12:00:00+00:00,1.27162,1.27392,1.2711,1.27359,3286330000
2023-07-04T13:00:00+00:00,1.27357,1.27361,1.27215,1.27269,2936090000
2023-07-04T14:00:00+00:00,1.27269,1.2737,1.2723,1.27257,2493450000
2023-07-04T15:00:00+00:00,1.27257,1.27351,1.27207,1.27305,2062420000
2023-07-04T16:00:00+00:00,1.27305,1.27306,1.27162,1.27183,3377690000
2023-07-04T17:00:00+00:00,1.27183,1.27234,1.27175,1.27204,1337770000
2023-07-04T18:00:00+00:00,1.27206,1.27237,1.27189,1.2719,804070000
2023-07-04T19:00:00+00:00,1.2719,1.27192,1.27134,1.27147,2808090000
2023-07-04T20:00:00+00:00,1.27147,1.27158,1.27101,1.27101,1577300000
2023-07-04T21:00:00+00:00,1.27091,1.27132,1.27091,1.27107,2095500000
2023-07-04T22:00:00+00:00,1.27102,1.27147,1.27097,1.27123,1547820000
2023-07-04T23:00:00+00:00,1.27123,1.2717,1.27103,1.2717,1396500000
2023-07-05T00:00:00+00:00,1.27169,1.27209,1.27124,1.27132,4412910000
2023-07-05T01:00:00+00:00,1.27135,1.27161,1.27048,1.27057,3797640000
2023-07-05T02:00:00+00:00,1.27059,1.2707,1.27024,1.27059,3202050000
2023-07-05T03:00:00+00:00,1.27059,1.27069,1.26998,1.27054,2254710000
2023-07-05T04:00:00+00:00,1.27053,1.2707,1.27036,1.27053,2149740000
2023-07-05T05:00:00+00:00,1.27053,1.27133,1.26982,1.27047,3944550000
2023-07-05T06:00:00+00:00,1.27048,1.27093,1.26966,1.27037,5419540000
2023-07-05T07:00:00+00:00,1.27033,1.27222,1.27029,1.27101,5364130000
2023-07-05T08:00:00+00:00,1.27102,1.27173,1.26951,1.2712,6838310000
2023-07-05T09:00:00+00:00,1.2712,1.27174,1.27038,1.27141,4418140000
2023-07-05T10:00:00+00:00,1.27142,1.27153,1.26958,1.26981,3544270000
2023-07-05T11:00:00+00:00,1.26981,1.27041,1.26879,1.26983,4078100000
2023-07-05T12:00:00+00:00,1.26981,1.27262,1.26916,1.27148,5372000000
2023-07-05T13:00:00+00:00,1.27148,1.27353,1.27129,1.27294,6528070000
2023-07-05T14:00:00+00:00,1.27294,1.27327,1.27022,1.27164,7758400000
2023-07-05T15:00:00+00:00,1.27163,1.27223,1.27052,1.2707,5805140000
2023-07-05T16:00:00+00:00,1.27071,1.27175,1.27011,1.27071,4876270000
2023-07-05T17:00:00+00:00,1.27072,1.27119,1.27031,1.27048,2970680000
2023-07-05T18:00:00+00:00,1.27047,1.27113,1.26914,1.26936,4942600000
2023-07-05T19:00:00+00:00,1.26936,1.27047,1.26934,1.27004,4068100000
2023-07-05T20:00:00+00:00,1.27006,1.27038,1.26996,1.27032,1351710000
2023-07-05T21:00:00+00:00,1.27027,1.27032,1.26953,1.27019,4865540000
2023-07-05T22:00:00+00:00,1.27018,1.27058,1.27003,1.27009,1285700000
2023-07-05T23:00:00+00:00,1.2701,1.27069,1.26999,1.27037,1520600000
2023-07-06T00:00:00+00:00,1.27041,1.27057,1.2692,1.26968,5191940000
2023-07-06T01:00:00+00:00,1.26969,1.27046,1.26904,1.27035,5805880000
2023-07-06T02:00:00+00:00,1.27034,1.27115,1.27009,1.27041,4593150000
2023-07-06T03:00:00+00:00,1.27041,1.27047,1.26939,1.26941,3290580000
2023-07-06T04:00:00+00:00,1.26942,1.27037,1.26893,1.27033,3794400000
2023-07-06T05:00:00+00:00,1.27032,1.27108,1.27008,1.27087,5146770000
2023-07-06T06:00:00+00:00,1.27088,1.27199,1.27083,1.27162,6673010000
