Etc/UTC,Open,High,Low,Close,Volume
2024-07-01T00:00:00+00:00,0.66735,0.66741,0.66643,0.66701,3689110000
2024-07-01T01:00:00+00:00,0.66702,0.66743,0.66652,0.66713,3288300000
2024-07-01T02:00:00+00:00,0.66715,0.66725,0.66664,0.66704,1579650000
2024-07-01T03:00:00+00:00,0.66704,0.66708,0.6665,0.66671,1873110000
2024-07-01T04:00:00+00:00,0.66671,0.66682,0.66641,0.66655,1101270000
2024-07-01T05:00:00+00:00,0.66653,0.66689,0.66636,0.66666,1838160000
2024-07-01T06:00:00+00:00,0.66667,0.6676,0.66663,0.66704,4405140000
2024-07-01T07:00:00+00:00,0.66706,0.66782,0.66701,0.66754,3299660000
2024-07-01T08:00:00+00:00,0.66754,0.66863,0.66742,0.66841,3640740000
2024-07-01T09:00:00+00:00,0.66842,0.66842,0.66754,0.6679,2529640000
2024-07-01T10:00:00+00:00,0.66789,0.66789,0.66733,0.66741,1709970000
2024-07-01T11:00:00+00:00,0.6674,0.66765,0.66707,0.66737,2656340000
2024-07-01T12:00:00+00:00,0.66734,0.66734,0.66557,0.66632,7110150000
2024-07-01T13:00:00+00:00,0.66632,0.66816,0.66623,0.66737,7750350000
2024-07-01T14:00:00+00:00,0.66746,0.6688,0.66489,0.665,15733930000
2024-07-01T15:00:00+00:00,0.665,0.66524,0.66435,0.66521,10090710000
2024-07-01T16:00:00+00:00,0.66521,0.66584,0.66486,0.6653,7166280000
2024-07-01T17:00:00+00:00,0.66528,0.6659,0.66523,0.66539,5163210000
2024-07-01T18:00:00+00:00,0.66538,0.66541,0.66478,0.66505,4977060000
2024-07-01T19:00:00+00:00,0.66504,0.66552,0.66493,0.66552,4641330000
2024-07-01T20:00:00+00:00,0.66552,0.66597,0.6655,0.6659,1417320000
2024-07-01T21:00:00+00:00,0.66586,0.66589,0.66491,0.66578,1418580000
2024-07-01T22:00:00+00:00,0.66579,0.66599,0.66553,0.66554,1060720000
2024-07-01T23:00:00+00:00,0.66551,0.66553,0.66513,0.66538,761040000
2024-07-02T00:00:00+00:00,0.66537,0.66573,0.66473,0.66488,4015440000
2024-07-02T01:00:00+00:00,0.66489,0.66516,0.66418,0.66485,5518200000
2024-07-02T02:00:00+00:00,0.66483,0.66492,0.66381,0.66399,2815830000
2024-07-02T03:00:00+00:00,0.66399,0.6642,0.66336,0.66419,2798280000
2024-07-02T04:00:00+00:00,0.6642,0.66438,0.66378,0.66424,1453710000
2024-07-02T05:00:00+00:00,0.66426,0.66465,0.6638,0.66444,2158060000
2024-07-02T06:00:00+00:00,0.66446,0.6648,0.66382,0.6642,4787130000
2024-07-02T07:00:00+00:00,0.66419,0.66494,0.66393,0.66485,6843750000
2024-07-02T08:00:00+00:00,0.66486,0.66514,0.66442,0.66504,3958770000
2024-07-02T09:00:00+00:00,0.66504,0.66508,0.66464,0.66499,2356500000
2024-07-02T10:00:00+00:00,0.665,0.66539,0.66484,0.6651,1775850000
2024-07-02T11:00:00+00:00,0.66511,0.66521,0.6645,0.66505,2255550000
2024-07-02T12:00:00+00:00,0.66506,0.666,0.66506,0.66546,4840860000
2024-07-02T13:00:00+00:00,0.66546,0.66702,0.66541,0.66664,7518060000
2024-07-02T14:00:00+00:00,0.66667,0.66691,0.66497,0.66627,13297360000
2024-07-02T15:00:00+00:00,0.66628,0.6663,0.66541,0.66575,4865790000
2024-07-02T16:00:00+00:00,0.66573,0.66588,0.66546,0.66568,1856610000
2024-07-02T17:00:00+00:00,0.66567,0.66651,0.66561,0.66631,1417110000
2024-07-02T18:00:00+00:00,0.66632,0.66683,0.66627,0.66681,1353340000
2024-07-02T19:00:00+00:00,0.6668,0.66702,0.6666,0.66701,1555800000
2024-07-02T20:00:00+00:00,0.667,0.66702,0.66659,0.6666,1115760000
2024-07-02T21:00:00+00:00,0.66656,0.66657,0.66632,0.66644,377070000
2024-07-02T22:00:00+00:00,0.66649,0.66703,0.66649,0.667,925590000
2024-07-02T23:00:00+00:00,0.66699,0.66702,0.66671,0.66681,662360000
2024-07-03T00:00:00+00:00,0.66683,0.6674,0.66683,0.6669,2479830000
2024-07-03T01:00:00+00:00,0.66688,0.66777,0.66647,0.66722,3723020000
2024-07-03T02:00:00+00:00,0.66721,0.66769,0.66688,0.66712,1713990000
2024-07-03T03:00:00+00:00,0.66711,0.66788,0.66707,0.66767,2030130000
2024-07-03T04:00:00+00:00,0.66767,0.66805,0.66749,0.66749,1158600000
2024-07-03T05:00:00+00:00,0.66748,0.66768,0.66683,0.66722,2136640000
2024-07-03T06:00:00+00:00,0.66726,0.66773,0.66704,0.66756,2583270000
2024-07-03T07:00:00+00:00,0.66756,0.66837,0.66754,0.66805,3144090000
2024-07-03T08:00:00+00:00,0.66804,0.6681,0.66743,0.66747,2754390000
2024-07-03T09:00:00+00:00,0.66746,0.66765,0.66714,0.66724,2857500000
2024-07-03T10:00:00+00:00,0.66724,0.66746,0.66696,0.667,1974780000
2024-07-03T11:00:00+00:00,0.66699,0.66734,0.66689,0.66723,2678480000
2024-07-03T12:00:00+00:00,0.66722,0.66829,0.66697,0.66777,6423910000
2024-07-03T13:00:00+00:00,0.66781,0.66985,0.66775,0.66957,5129580000
2024-07-03T14:00:00+00:00,0.6696,0.67331,0.66952,0.67201,14866500000
2024-07-03T15:00:00+00:00,0.67202,0.67227,0.67109,0.67177,7586670000
2024-07-03T16:00:00+00:00,0.67175,0.6719,0.6711,0.67139,2934240000
2024-07-03T17:00:00+00:00,0.67138,0.67139,0.67049,0.67083,2211030000
2024-07-03T18:00:00+00:00,0.67083,0.67091,0.66997,0.67029,2011890000
2024-07-03T19:00:00+00:00,0.6703,0.6705,0.6702,0.67039,1890420000
2024-07-03T20:00:00+00:00,0.67038,0.67064,0.67022,0.67025,777420000
2024-07-03T21:00:00+00:00,0.67021,0.67049,0.67011,0.67032,814670000
2024-07-03T22:00:00+00:00,0.67042,0.67102,0.67042,0.6709,648390000
2024-07-03T23:00:00+00:00,0.67092,0.67122,0.67071,0.67115,818160000
2024-07-04T00:00:00+00:00,0.67114,0.67177,0.67098,0.67163,2468160000
2024-07-04T01:00:00+00:00,0.67165,0.67211,0.67107,0.67157,4006680000
2024-07-04T02:00:00+00:00,0.67154,0.67165,0.67126,0.67148,1431570000
2024-07-04T03:00:00+00:00,0.67149,0.67159,0.67103,0.6712,796890000
2024-07-04T04:00:00+00:00,0.6712,0.67139,0.67108,0.67129,580200000
2024-07-04T05:00:00+00:00,0.67128,0.67169,0.67105,0.67168,791880000
2024-07-04T06:00:00+00:00,0.67166,0.67181,0.67118,0.67178,2768460000
2024-07-04T07:00:00+00:00,0.67179,0.67194,0.67131,0.67192,2980420000
2024-07-04T08:00:00+00:00,0.67194,0.67257,0.67165,0.67212,2382360000
2024-07-04T09:00:00+00:00,0.67213,0.67236,0.67182,0.67222,1745670000
2024-07-04T10:00:00+00:00,0.67222,0.67286,0.67215,0.67283,1587870000
2024-07-04T11:00:00+00:00,0.67284,0.67309,0.67268,0.67284,1165020000
2024-07-04T12:00:00+00:00,0.67287,0.67312,0.67241,0.67264,2200740000
2024-07-04T13:00:00+00:00,0.67265,0.67274,0.67237,0.67262,2229540000
2024-07-04T14:00:00+00:00,0.67259,0.67295,0.67237,0.67251,2116050000
2024-07-04T15:00:00+00:00,0.67253,0.67313,0.67241,0.67269,1423200000
2024-07-04T16:00:00+00:00,0.67269,0.67284,0.67251,0.6728,368520000
2024-07-04T17:00:00+00:00,0.6728,0.67287,0.6726,0.67267,132480000
2024-07-04T18:00:00+00:00,0.67266,0.67266,0.67257,0.67266,202890000
2024-07-04T19:00:00+00:00,0.67266,0.67275,0.67265,0.67272,134760000
2024-07-04T20:00:00+00:00,0.67273,0.67275,0.67242,0.67249,280050000
2024-07-04T21:00:00+00:00,0.67249,0.6727,0.67239,0.67257,543510000
2024-07-04T22:00:00+00:00,0.67258,0.67276,0.67246,0.67262,384270000
2024-07-04T23:00:00+00:00,0.67263,0.6727,0.67239,0.67243,537120000
2024-07-05T00:00:00+00:00,0.67242,0.67355,0.67239,0.67321,4521870000
2024-07-05T01:00:00+00:00,0.67323,0.67375,0.67308,0.67357,6490110000
2024-07-05T02:00:00+00:00,0.67355,0.67385,0.67335,0.67346,5392650000
2024-07-05T03:00:00+00:00,0.67344,0.67375,0.67323,0.67365,5344470000
2024-07-05T04:00:00+00:00,0.67366,0.67377,0.67329,0.67335,4196160000
2024-07-05T05:00:00+00:00,0.67335,0.67347,0.67277,0.67333,2878080000
2024-07-05T06:00:00+00:00,0.67335,0.67362,0.67267,0.67287,3333780000
2024-07-05T07:00:00+00:00,0.67291,0.67355,0.67281,0.67327,3104790000
2024-07-05T08:00:00+00:00,0.67327,0.67358,0.67296,0.6735,2480400000
2024-07-05T09:00:00+00:00,0.6735,0.67361,0.6731,0.67356,1568730000
