Etc/UTC,Open,High,Low,Close,Volume
2025-07-01T00:00:00+00:00,1.17862,1.17978,1.17861,1.17973,5062680000
2025-07-01T01:00:00+00:00,1.17974,1.18076,1.17793,1.17801,5180050000
2025-07-01T02:00:00+00:00,1.17799,1.17895,1.17776,1.17879,3275360000
2025-07-01T03:00:00+00:00,1.17878,1.17938,1.17866,1.17892,2740840000
2025-07-01T04:00:00+00:00,1.17894,1.17937,1.17826,1.17862,3325210000
2025-07-01T05:00:00+00:00,1.17862,1.17894,1.17801,1.17865,2117010000
2025-07-01T06:00:00+00:00,1.17864,1.17865,1.17758,1.17793,4334610000
2025-07-01T07:00:00+00:00,1.17793,1.17878,1.17673,1.17858,5221620000
2025-07-01T08:00:00+00:00,1.17856,1.18172,1.17743,1.18043,8357100000
2025-07-01T09:00:00+00:00,1.18041,1.18298,1.17966,1.18136,8142590000
2025-07-01T10:00:00+00:00,1.18137,1.18232,1.18109,1.18112,3960200000
2025-07-01T11:00:00+00:00,1.18113,1.18192,1.18058,1.18139,3900670000
2025-07-01T12:00:00+00:00,1.18137,1.18174,1.18023,1.18036,4750430000
2025-07-01T13:00:00+00:00,1.18037,1.18118,1.17931,1.18016,7535150000
2025-07-01T14:00:00+00:00,1.18017,1.18028,1.17751,1.17796,12609160000
2025-07-01T15:00:00+00:00,1.17794,1.17795,1.17689,1.17758,6764830000
2025-07-01T16:00:00+00:00,1.17757,1.17758,1.17611,1.17652,4929380000
2025-07-01T17:00:00+00:00,1.17654,1.17836,1.17654,1.17827,5368360000
2025-07-01T18:00:00+00:00,1.17826,1.17835,1.17749,1.17807,2182560000
2025-07-01T19:00:00+00:00,1.17806,1.17913,1.17792,1.17909,6142500000
2025-07-01T20:00:00+00:00,1.17908,1.18068,1.17906,1.18059,3444820000
2025-07-01T21:00:00+00:00,1.18053,1.18053,1.17993,1.18034,3747100000
2025-07-01T22:00:00+00:00,1.18033,1.18064,1.1802,1.18025,1155930000
2025-07-01T23:00:00+00:00,1.18026,1.18068,1.17992,1.1805,943210000
2025-07-02T00:00:00+00:00,1.18048,1.18081,1.17991,1.18076,2184310000
2025-07-02T01:00:00+00:00,1.18077,1.18098,1.17918,1.17934,5901810000
2025-07-02T02:00:00+00:00,1.17936,1.18015,1.1788,1.18002,5875850000
2025-07-02T03:00:00+00:00,1.18001,1.18027,1.17962,1.18002,1880530000
2025-07-02T04:00:00+00:00,1.18001,1.18011,1.17957,1.17963,874990000
2025-07-02T05:00:00+00:00,1.17962,1.17981,1.17846,1.17871,2067720000
2025-07-02T06:00:00+00:00,1.17875,1.17934,1.17734,1.17813,6478560000
2025-07-02T07:00:00+00:00,1.17812,1.17834,1.17708,1.17738,4775000000
2025-07-02T08:00:00+00:00,1.17737,1.17814,1.17698,1.17755,5094790000
2025-07-02T09:00:00+00:00,1.17756,1.17775,1.1767,1.17701,3895010000
2025-07-02T10:00:00+00:00,1.17702,1.17808,1.17645,1.17673,3537570000
2025-07-02T11:00:00+00:00,1.17673,1.17711,1.17467,1.17494,4326500000
2025-07-02T12:00:00+00:00,1.17494,1.17883,1.1747,1.17562,16329240000
2025-07-02T13:00:00+00:00,1.17561,1.17774,1.17546,1.17596,8728050000
2025-07-02T14:00:00+00:00,1.17596,1.17706,1.17508,1.17674,9408440000
2025-07-02T15:00:00+00:00,1.17672,1.17898,1.17658,1.17891,9389940000
2025-07-02T16:00:00+00:00,1.17891,1.17938,1.17855,1.17884,5984940000
2025-07-02T17:00:00+00:00,1.17885,1.18,1.17884,1.17953,3399930000
