Etc/UTC,Open,High,Low,Close,Volume
2023-07-02T21:00:00+00:00,0.66599,0.66624,0.66579,0.66624,135860000
2023-07-02T22:00:00+00:00,0.66623,0.66636,0.66585,0.66595,760010000
2023-07-02T23:00:00+00:00,0.66602,0.66612,0.66567,0.66577,937070000
2023-07-03T00:00:00+00:00,0.66578,0.66643,0.6652,0.66534,2803410000
2023-07-03T01:00:00+00:00,0.66532,0.6667,0.66475,0.66526,5068290000
2023-07-03T02:00:00+00:00,0.66528,0.66534,0.66366,0.66453,3104720000
2023-07-03T03:00:00+00:00,0.66454,0.6663,0.66438,0.66629,2570920000
2023-07-03T04:00:00+00:00,0.6663,0.66735,0.6663,0.66704,2468490000
2023-07-03T05:00:00+00:00,0.66702,0.66747,0.66612,0.66622,3510290000
2023-07-03T06:00:00+00:00,0.66623,0.66651,0.66398,0.66495,4327620000
2023-07-03T07:00:00+00:00,0.66494,0.6653,0.66391,0.66413,4880500000
2023-07-03T08:00:00+00:00,0.66411,0.66594,0.66397,0.66566,3495100000
2023-07-03T09:00:00+00:00,0.66565,0.66591,0.66473,0.66478,2984840000
2023-07-03T10:00:00+00:00,0.66475,0.66558,0.66459,0.66544,3411460000
2023-07-03T11:00:00+00:00,0.66543,0.66546,0.66465,0.66498,3385700000
2023-07-03T12:00:00+00:00,0.66497,0.66654,0.66456,0.6662,3634060000
2023-07-03T13:00:00+00:00,0.66618,0.66785,0.66589,0.66765,5622050000
2023-07-03T14:00:00+00:00,0.66776,0.66914,0.66701,0.66823,9152230000
2023-07-03T15:00:00+00:00,0.66822,0.6684,0.66762,0.66766,4499400000
2023-07-03T16:00:00+00:00,0.66765,0.66794,0.66726,0.66726,2693220000
2023-07-03T17:00:00+00:00,0.66726,0.66776,0.66715,0.66715,711030000
2023-07-03T18:00:00+00:00,0.66716,0.66726,0.66707,0.66721,606620000
2023-07-03T19:00:00+00:00,0.66723,0.66731,0.66696,0.66706,461200000
2023-07-03T20:00:00+00:00,0.66706,0.66721,0.66692,0.66696,560250000
2023-07-03T21:00:00+00:00,0.66696,0.66703,0.66607,0.66687,692280000
2023-07-03T22:00:00+00:00,0.66692,0.66716,0.66688,0.66708,484180000
2023-07-03T23:00:00+00:00,0.66708,0.66768,0.66702,0.66735,789830000
2023-07-04T00:00:00+00:00,0.66736,0.66834,0.66718,0.66783,2326130000
2023-07-04T01:00:00+00:00,0.66783,0.66827,0.66686,0.66821,3655200000
2023-07-04T02:00:00+00:00,0.66823,0.6683,0.66697,0.66723,2308880000
2023-07-04T03:00:00+00:00,0.66723,0.66796,0.66708,0.66755,2035920000
2023-07-04T04:00:00+00:00,0.66756,0.66869,0.66429,0.66461,6425020000
2023-07-04T05:00:00+00:00,0.6646,0.66562,0.6641,0.6653,3090190000
2023-07-04T06:00:00+00:00,0.66529,0.66792,0.66503,0.66779,4334720000
2023-07-04T07:00:00+00:00,0.66781,0.6688,0.66769,0.66794,4274680000
2023-07-04T08:00:00+00:00,0.66798,0.66849,0.66725,0.66792,2607130000
2023-07-04T09:00:00+00:00,0.66793,0.66871,0.66781,0.66861,2459630000
2023-07-04T10:00:00+00:00,0.66863,0.66899,0.6682,0.66821,2369110000
2023-07-04T11:00:00+00:00,0.66822,0.66921,0.6682,0.66879,1819670000
2023-07-04T12:00:00+00:00,0.66878,0.66947,0.66855,0.66939,1860430000
2023-07-04T13:00:00+00:00,0.66938,0.66971,0.66895,0.66933,2327730000
2023-07-04T14:00:00+00:00,0.66933,0.6699,0.66918,0.66987,2897280000
2023-07-04T15:00:00+00:00,0.66987,0.6705,0.66947,0.67033,2169820000
2023-07-04T16:00:00+00:00,0.67033,0.67036,0.66938,0.66953,1673330000
2023-07-04T17:00:00+00:00,0.66955,0.66979,0.66947,0.66949,546800000
2023-07-04T18:00:00+00:00,0.66949,0.66967,0.66939,0.66939,159770000
2023-07-04T19:00:00+00:00,0.66941,0.66942,0.66915,0.66933,380940000
2023-07-04T20:00:00+00:00,0.66934,0.66958,0.66893,0.66893,603300000
2023-07-04T21:00:00+00:00,0.66886,0.6694,0.6685,0.66895,853780000
2023-07-04T22:00:00+00:00,0.66891,0.6693,0.66891,0.66915,1047220000
2023-07-04T23:00:00+00:00,0.66919,0.66938,0.66905,0.6693,803520000
2023-07-05T00:00:00+00:00,0.6693,0.66981,0.66916,0.66935,2597670000
2023-07-05T01:00:00+00:00,0.66935,0.66969,0.66826,0.66839,3994440000
2023-07-05T02:00:00+00:00,0.66838,0.66853,0.66787,0.66852,3190340000
2023-07-05T03:00:00+00:00,0.66851,0.66865,0.66822,0.66841,1862760000
2023-07-05T04:00:00+00:00,0.6684,0.66851,0.668,0.66807,1858550000
